,이름,학명,주소
0,까마귀쪽나무,Litsea japonica (Thunb.) Juss.,한라수목원
1,좁은잎천선과,Ficus erecta var. sieboldii (Miq.) King,제주시 오등동
2,참식나무,Neolitsea sericea (Blume) Koidz.,제주특별자치도 제주시 조천읍
3,메밀,Fagopyrum esculentum Moench,서귀포시 안덕면 서광리
4,구실잣밤나무,Castanopsis sieboldii (Makino) Hatus. ex T. Yamaz. & Mashiba,만장굴
5,순비기나무,Vitex rotundifolia L. f.,제주특별자치도 제주시 삼양동
6,순비기나무,Vitex rotundifolia L. f.,제주특별자치도 제주시 구좌읍 월정리
7,참가시나무,Quercus salicina Blume,한라수목원
8,황근,Hibiscus hamabo Siebold & Zucc.,한라수목원
9,황근,Hibiscus hamabo Siebold & Zucc.,한라수목원
10,백량금,Ardisia ,한라수목원
11,꽝꽝나무,Ilex ,한라수목원
